1.1547,0.41474,1.122,0.43496
1.1775,0.33257,0.84204,0.71018
0.9828,0.45865,0.76847,1.0283
1.1794,0.42675,0.33661,1.0393
1.1091,0.483,0.029373,1.1124
0.97544,0.48399,-0.14884,1.1919
1.0207,0.46865,-0.50558,0.81959
1.0878,0.31742,-0.64556,0.83102
1.1904,0.32622,-0.76377,0.35632
1.1923,0.38892,-0.8542,0.16678
0.99046,0.44173,-0.76605,-0.16241
1.1937,0.47263,-0.75031,-0.41901
1.1903,0.41092,-0.40405,-0.71876
1.0724,0.51401,-0.066367,-0.79599
1.1511,0.48861,0.21673,-0.79721
0.98653,0.55118,0.33058,-0.94624
1.0565,0.44185,0.67939,-0.78805
1.18,0.3903,0.90132,-0.34408
1.1491,0.33542,1.1223,-0.14618
1.1909,0.46176,1.1495,0.057809
0.97295,0.78249,1.1484,0.40989
0.81794,0.69365,0.90093,0.61829
1.0213,0.61049,0.63929,0.87613
1.0425,0.6544,0.33068,1.0155
0.9787,0.6262,0.19298,1.0829
0.99845,0.65804,-0.2576,0.98912
0.9948,0.69781,-0.49072,0.89602
0.90707,0.71957,-0.67107,0.6182
0.97289,0.70214,-0.89382,0.53006
0.85181,0.80663,-0.83951,0.02357
0.98553,0.7173,-0.82994,-0.076507
0.81698,0.82369,-0.77106,-0.48803
0.87825,0.74721,-0.3923,-0.79717
0.82056,0.82721,-0.28387,-0.86546
0.8333,0.64796,0.073517,-0.81601
1.0149,0.75682,0.36836,-0.75239
0.98272,0.66005,0.7205,-0.67279
0.88829,0.75574,0.83189,-0.41623
1.0466,0.76157,1.0524,-0.085609
0.81763,0.60478,1.0262,0.013698
0.69747,0.87271,0.97913,0.38493
0.68317,0.86503,1.0051,0.59933
0.77916,0.97598,0.66068,0.85789
0.78659,1.0201,0.4599,1.1311
0.6345,0.89513,0.24111,1.1804
0.71023,1.0041,-0.2009,1.1705
0.69918,0.97785,-0.4141,0.95463
0.74936,0.8107,-0.61949,0.60546
0.76513,0.95956,-0.8429,0.5397
0.77646,0.90571,-0.83613,0.20009
0.65679,1.038,-0.92362,-0.23753
0.75771,0.8093,-0.57558,-0.45187
0.75156,0.92463,-0.54092,-0.56282
0.62844,0.9151,-0.24247,-0.77214
0.61753,0.92425,0.19946,-0.79026
0.71238,1.0016,0.43092,-0.84274
0.82772,0.88963,0.78002,-0.69136
