1.8239,0.652,0.2703,1.8496,-0.7075,-0.4092,0.4999,-1.3985,-0.5147,-0.4408,-1.1525,0.6536,-1.8239,-0.652,0.2703,-1.8496,0.7075,-0.4092,-0.4999,1.3985,-0.5147,0.4408,1.1525,0.6536
1.3779,0.4302,-0.59,1.2789,-0.4287,0.6602,0.5456,-1.7475,0.4771,-0.5771,-1.7214,-0.5473,-1.3779,-0.4302,-0.59,-1.2789,0.4287,0.6602,-0.5456,1.7475,0.4771,0.5771,1.7214,-0.5473
1.3341,0.7039,0.6463,1.4683,-0.8079,0.565,0.7664,-1.4524,-0.6192,-0.7509,-1.3646,-0.5922,-1.3341,-0.7039,0.6463,-1.4683,0.8079,0.565,-0.7664,1.4524,-0.6192,0.7509,1.3646,-0.5922
1.5514,0.783,-0.6293,1.372,-0.7222,-0.5171,0.5993,-1.1876,0.7064,-0.8402,-1.5962,0.4399,-1.5514,-0.783,-0.6293,-1.372,0.7222,-0.5171,-0.5993,1.1876,0.7064,0.8402,1.5962,0.4399
1.3427,0.5648,0.476,1.4438,-0.6455,-0.438,0.7643,-1.9017,0.0821,-0.7238,-1.7599,0.3575,-1.4083,-0.6215,-0.3813,-1.4606,0.6957,0.3754,-0.7365,1.8514,-0.2958,0.7784,1.8167,-0.1759
1.8907,0.7565,-0.128,1.4559,-0.6029,0.395,0.5129,-1.3704,-0.5172,-0.783,-1.8249,0.1343,-1.8566,-0.7546,0.244,-1.4857,0.5914,-0.357,-0.5134,1.4177,0.469,0.7792,1.7872,-0.2401
1.6663,0.5901,-0.3287,1.8625,-0.7866,0.285,0.6231,-1.6664,0.2985,-0.4952,-1.2151,-0.6267,-1.753,-0.7294,0.0751,-1.8347,0.7746,0.2794,-0.7026,1.5706,-0.3493,0.6338,1.4622,0.3667
1.6725,0.6511,0.0991,1.0382,-0.4343,-0.7552,0.6631,-1.7034,-0.0074,-0.7005,-1.6744,0.6635,-1.6725,-0.6511,0.0991,-1.0382,0.4343,-0.7552,-0.6631,1.7034,-0.0074,0.7005,1.6744,0.6635
1.1145,0.3855,0.7523,1.5853,-0.6001,-0.3047,0.5826,-1.6845,-0.664,-0.6555,-1.7318,0.2164,-1.1145,-0.3855,0.7523,-1.5853,0.6001,-0.3047,-0.5826,1.6845,-0.664,0.6555,1.7318,0.2164
1.0363,0.4304,-0.6607,1.713,-0.7472,0.0217,0.7884,-1.898,0.3836,-0.6955,-1.5945,0.2554,-1.0363,-0.4304,-0.6607,-1.713,0.7472,0.0217,-0.7884,1.898,0.3836,0.6955,1.5945,0.2554
1.9051,0.716,-0.3765,1.7805,-0.7167,0.1159,0.4108,-1.0932,0.6569,-0.6053,-1.5037,-0.3963,-1.9051,-0.716,-0.3765,-1.7805,0.7167,0.1159,-0.4108,1.0932,0.6569,0.6053,1.5037,-0.3963
1.7394,0.7187,0.0191,1.0271,-0.4591,0.664,0.6545,-1.584,-0.2879,-0.8349,-1.868,-0.3951,-1.7394,-0.7187,0.0191,-1.0271,0.4591,0.664,-0.6545,1.584,-0.2879,0.8349,1.868,-0.3951
1.7906,0.737,0.5651,1.6625,-0.7059,0.1047,0.4102,-1.0148,-0.6995,-0.7103,-1.6768,0.0856,-1.8546,-0.7546,0.4736,-1.6236,0.7173,0.173,-0.419,1.0121,-0.7059,0.7443,1.6858,0.0035
